卡牌名	能量费用	稀有度	类型	描述	目标	升级		说明	
叛逆	1	初始	攻击	造成4点伤害，给予等同于将要造成伤害层数的流血	单个敌人	造成6点伤害，给予等同于将要造成伤害层数的流血	1		
宽恕	1	初始	技能	获得6点格挡，移除5点原罪	自己	获得8点格挡，移除7点原罪	1		
打击	1	初始	攻击	造成6点伤害	单个敌人	造成9点伤害	1		
防御	1	初始	技能	获得5点格挡	自己	获得8点格挡	1		
割伤	1	白	攻击	造成6点伤害，给予3层流血	单个敌人	造成8点伤害，给予4层流血	1		
鲜血撕扯	1	白	攻击	造成4点伤害。若敌人有流血额外造成1次伤害	单个敌人	造成4点伤害。若敌人有流血额外造成2次伤害	1		
追击	0	白	攻击	仅前一张打出的牌是攻击牌时打出。造成9点伤害	单个敌人	仅前一张打出的牌是攻击牌时打出。造成12点伤害	1		
断臂斩	1	白	攻击	造成12点伤害。将1张苦痛加入手牌	单个敌人	造成16点伤害。将1张苦痛加入手牌	1		
残酷折磨	2	白	攻击	造成15点伤害。获得5层原罪	单个敌人	造成20点伤害。获得5层原罪	1		
淬火刀刃	1	白	攻击	造成7点伤害。升级2张手牌	单个敌人	造成10点伤害.升级3张手牌			
赎罪打击	1	白	攻击	造成6点伤害。若你有血债，抽2张牌	单个敌人	造成8点伤害。若你有血债，抽3张牌			
不义罪责	1	白	攻击	对所有敌人造成10点伤害。获得4层原罪	所有敌人	对所有敌人造成14点伤害。获得4层原罪			
纠缠不放	0	白	攻击	造成5点伤害。每当你洗牌时加入手牌	单个敌人	造成7点伤害。每当你洗牌时加入手牌		苦痛属于状态牌，但原版也有状态牌，更泛用	
伤痛	1	白	攻击	造成7点伤害。给予1层虚弱和1层易伤	单个敌人	造成10点伤害。给予1层虚弱和1层易伤			
灵魂净土	1	白	技能	仅没有血债时可以打出。获得5点格挡。抽2张牌	自己	仅没有血债时可以打出。获得7点格挡。抽3张牌			
借贷	1	白	技能	获得3点能量。下回合开始失去1点能量。消耗	自己	获得3点能量。下回合开始失去1点能量。消耗。保留			
坚定意志	1	白	技能	获得8点格挡。保留	自己	获得11点格挡。保留			
漂泊	0	白	技能	抽2张牌。随机消耗1张手牌，若消耗的是状态牌，减少2层原罪	自己	抽2张牌。消耗1张手牌，若消耗的是状态牌，减少3层原罪			
鲜血援护	1	白	技能	获得6点格挡。给予1名敌人6层流血	单个敌人	获得8点格挡。给予1名敌人8层流血			
无罪辩护	1	白	技能	获得6点格挡。你每有1层血债，额外获得4点格挡	自己	获得8点格挡。你每有1层血债，额外获得6点格挡			
预判手段	1	白	技能	抽一张牌。若抽到的是攻击牌，此牌打出前费用为0	自己	费用减1			
命运枷锁	1	白	技能	获得5点格挡。将弃牌堆的1张牌放到抽牌堆顶	自己	获得8点格挡。将弃牌堆的1张牌放到抽牌堆顶			
敌视	1	白	技能	若你当前格挡不大于5，给予所有敌人1层虚弱。获得6层格挡	自己	若你当前格挡不大于5，给予所有敌人2层虚弱。获得9层格挡			
威慑打击	1	蓝	攻击	造成8点伤害。如果敌人的意图是攻击，给予1层虚弱	单个敌人	造成11点伤害。如果敌人的意图是攻击，给予2层虚弱			
负重猛击	1	蓝	攻击	仅当你有至少2层血债时打出。造成12点伤害	单个敌人	仅当你有至少2层血债时打出。造成16点伤害			
化罪为刃	1	蓝	攻击	造成8点伤害。抽等同于你血债层数的牌	单个敌人	造成10点伤害。抽等同于你血债层数加1的牌			
污浊之乱	1	蓝	攻击	获得10层原罪。造成5点伤害。每层负面效果会使此牌伤害加3	单个敌人	获得10层原罪。造成5点伤害。每层负面效果会使此牌伤害加5			
暴乱	X	蓝	攻击	造成6点伤害X次。每1层血债会使此牌伤害加1	单个敌人	造成7点伤害X次。每1层血债会使此牌伤害加2			
崩摧	2	蓝	攻击	造成12点伤害。获得等同该敌人流血层数的格挡	单个敌人	造成16点伤害。获得等同该敌人流血层数的格挡			
淬炼之剑	1	蓝	攻击	造成8点伤害。本场战斗你每消耗1张牌，此牌伤害加3	单个敌人	造成10点伤害。本场战斗你每消耗1张牌，此牌伤害加4			
饮鸩血刃	1	蓝	攻击	失去2点生命。造成14点伤害。若杀死敌人，回复5点生命	单个敌人	失去2点生命。造成18点伤害。若杀死敌人，回复7点生命			
连环踢击	1	蓝	攻击	造成3点伤害3次	单个敌人	造成3点伤害4次			
